@relation 'customer_churn-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-R3,6,7,10,12-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.instance.Resample-B0.0-S1-Z60.0'

@attribute CashbackAmount numeric
@attribute DaySinceLastOrder numeric
@attribute OrderCount numeric
@attribute CouponUsed numeric
@attribute OrderAmountHikeFromlastYear numeric
@attribute Complain numeric
@attribute NumberOfAddress numeric
@attribute MaritalStatus=Married numeric
@attribute MaritalStatus=Divorced numeric
@attribute MaritalStatus=Single numeric
@attribute SatisfactionScore numeric
@attribute PreferedOrderCat=Grocery numeric
@attribute PreferedOrderCat=Fashion numeric
@attribute PreferedOrderCat=Others numeric
@attribute 'PreferedOrderCat=Mobile Phone' numeric
@attribute PreferedOrderCat=Mobile numeric
@attribute 'PreferedOrderCat=Laptop & Accessory' numeric
@attribute NumberOfDeviceRegistered numeric
@attribute HourSpendOnApp numeric
@attribute Gender=Male numeric
@attribute 'PreferredPaymentMode=Credit Card' numeric
@attribute PreferredPaymentMode=COD numeric
@attribute 'PreferredPaymentMode=E wallet' numeric
@attribute 'PreferredPaymentMode=Cash on Delivery' numeric
@attribute PreferredPaymentMode=CC numeric
@attribute PreferredPaymentMode=UPI numeric
@attribute 'PreferredPaymentMode=Debit Card' numeric
@attribute WarehouseToHome numeric
@attribute CityTier numeric
@attribute PreferredLoginDevice=Computer numeric
@attribute PreferredLoginDevice=Phone numeric
@attribute 'PreferredLoginDevice=Mobile Phone' numeric
@attribute Tenure numeric
@attribute Churn {0,1}

@data
151,0,1,0,20,0,4,0,0,1,1,0,0,0,0,0,1,5,2,1,0,0,0,0,0,0,1,8,3,1,0,0,0,0
159,5,2,1,12,0,3,0,0,1,1,0,0,0,1,0,0,4,4,0,1,0,0,0,0,0,0,15,1,0,0,1,1,0
178,8,6,6,13,0,3,0,0,1,2,0,0,0,0,0,1,3,4,1,0,0,0,0,0,0,1,28,3,0,0,1,8,0
149,7,8,8,13,0,10,1,0,0,5,0,0,0,1,0,0,4,4,0,0,0,0,0,0,1,0,22,1,0,1,0,22,0
176,1,2,2,15,0,5,1,0,0,5,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0,1,15,1,0,0,1,8,0
194,8,8,4,12,0,6,0,1,0,2,0,0,0,0,0,1,3,4,1,0,0,0,1,0,0,0,14,3,0,0,1,5,0
287,0,1,1.751023,13,0,3,1,0,0,3,0,0,1,0,0,0,4,2,1,1,0,0,0,0,0,0,10,1,0,0,1,22,0
132,3,1,0,14,0,4,0,0,1,3,0,0,0,0,1,0,4,2.931535,1,0,0,0,0,0,0,1,11,1,1,0,0,17,0
132,2,1,0,13,0,1,0,1,0,4,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,1,8,1,1,0,0,2,0
260,12,3.008004,6,23,0,3,1,0,0,4,1,0,0,0,0,0,5,4,1,0,0,0,0,0,0,1,7,1,1,0,0,14,0
156,3,3,2,19,0,3,0,0,1,1,0,0,0,1,0,0,4,4,1,1,0,0,0,0,0,0,12,1,0,0,1,1,0
307,11,4,2,15.707922,0,9,1,0,0,4,0,0,1,0,0,0,4,3,1,0,0,1,0,0,0,0,12,3,0,0,1,18,0
154,3,2,1,14,0,3,1,0,0,1,0,0,0,1,0,0,5,4,0,0,0,0,0,0,0,1,12,1,0,0,1,7,0
149,2,3,2,14,0,2,1,0,0,1,0,0,0,1,0,0,4,3,1,1,0,0,0,0,0,0,31,3,1,0,0,1,0
147,2,7,5,13,0,2,1,0,0,1,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,1,16,1,1,0,0,7,0
199,3,2,1,13,1,3,1,0,0,5,0,1,0,0,0,0,4,3,1,1,0,0,0,0,0,0,17,1,1,0,0,8,0
167,3,2,1,13,0,4,0,0,1,4,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0,1,23,3,0,0,1,12,0
187,8,2,1,19,0,3,1,0,0,4,0,0,0,0,0,1,4,3,0,0,0,1,0,0,0,0,15,3,0,0,1,1,0
179,8,1,1,11,0,2,0,0,1,1,0,1,0,0,0,0,3,2,1,0,0,0,0,0,0,1,10,1,0,0,1,21,0
148,6,2,2,20,0,3,0,0,1,1,0,0,0,1,0,0,4,3,1,0,0,0,0,0,0,1,22,1,0,1,0,3,0
157,10,5,1,14,0,4,1,0,0,4,0,0,0,0,0,1,3,3,0,0,0,1,0,0,0,0,8,3,0,0,1,13,0
145,4,2,1,12,0,3,1,0,0,1,0,0,0,1,0,0,4,3,1,0,0,0,0,0,0,1,7,1,0,1,0,2,0
191,5,2,1,19,0,3,1,0,0,3,0,0,0,0,0,1,5,4,1,0,0,1,0,0,0,0,17,3,0,0,1,4,0
127,2,1,0,11,0,2,0,0,1,5,0,0,0,0,1,0,3,2.931535,1,0,0,0,0,0,0,1,15,3,0,1,0,0,0
283,0,1,1.751023,13,0,7,1,0,0,3,0,0,1,0,0,0,3,2,1,0,0,1,0,0,0,0,11,3,0,0,1,0,0
146,7,1,1,23,1,9,1,0,0,5,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0,1,14,1,0,1,0,19,0
152,3,2,2,15,1,3,1,0,0,3,0,0,0,1,0,0,5,3,1,0,0,0,0,0,0,1,13,1,1,0,0,2,0
148,6,2,1,20,0,3,0,0,1,2,0,0,0,1,0,0,4,3,1,0,0,0,0,0,0,1,22,1,0,1,0,3,0
189,8,12,5,12,0,7,0,0,1,1,0,1,0,0,0,0,4,2,0,1,0,0,0,0,0,0,12,3,1,0,0,18,0
139,7,7,4,11,0,2,1,0,0,4,0,0,0,1,0,0,3,3,0,1,0,0,0,0,0,0,16,1,0,1,0,10,0
283,0,1,1.751023,13,0,7,1,0,0,3,0,0,1,0,0,0,3,2,1,0,0,1,0,0,0,0,11,3,0,0,1,0,0
179,4,2,1,21,1,4,1,0,0,1,0,0,0,0,0,1,6,4,0,0,0,1,0,0,0,0,9,3,0,0,1,12,0
188,14,2,1,13,0,2,1,0,0,3,0,0,0,0,0,1,4,4,0,0,0,0,0,0,0,1,7,3,1,0,0,24,0
317,7,2,1,15.707922,1,3,1,0,0,3,0,0,1,0,0,0,4,3,1,0,0,0,0,0,0,1,7,1,1,0,0,13,0
184,2,2,2,18,0,5,0,0,1,4,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,1,12,1,0,0,1,12,0
197,2,1,0,14,0,10,0,0,1,3,0,1,0,0,0,0,3,3,0,1,0,0,0,0,0,0,16,1,0,0,1,3,0
164,0,1,0,12,0,4,1,0,0,5,0,0,0,0,0,1,4,3,1,0,0,0,0,0,1,0,8,2,0,0,1,4,0
151,5,2,2,14,0,3,0,0,1,1,0,0,0,1,0,0,4,4,1,0,0,0,0,0,1,0,19,1,0,0,1,1,0
134,0,1,1,22,0,7,0,1,0,3,0,0,0,0,0,1,4,3,0,0,0,0,0,1,0,0,8,1,0,1,0,13,0
318,1,2,1,15.707922,1,6,1,0,0,3,0,0,1,0,0,0,4,3,1,0,0,1,0,0,0,0,6,3,0,0,1,24,0
291,8,4,1.751023,11,0,5,1,0,0,3,0,0,1,0,0,0,3,2,0,0,0,0,0,0,1,0,11,1,0,0,1,26,0
146,3,3,1,12,1,3,0,0,1,4,0,0,0,1,0,0,5,4,0,0,1,0,0,0,0,0,7,1,0,1,0,1,0
161,1,2,1,15,1,10,1,0,0,4,0,0,0,1,0,0,4,3,1,1,0,0,0,0,0,0,16,1,1,0,0,14,0
184,8,2,1,23,0,5,1,0,0,1,0,0,0,0,0,1,4,3,1,0,0,0,0,0,0,1,14,1,0,0,1,5,0
144,3,1,1,14,0,1,1,0,0,5,0,0,0,0,0,1,3,2,1,1,0,0,0,0,0,0,13,3,1,0,0,6,0
211,4.543491,2,2,19,0,3,1,0,0,3,0,1,0,0,0,0,4,3,1,1,0,0,0,0,0,0,20,3,0,0,1,8,0
157,7,4,2,13,1,4,1,0,0,3,0,0,0,0,0,1,3,3,1,1,0,0,0,0,0,0,15,1,1,0,0,16,0
169,8,11,4,16,1,5,0,1,0,3,0,0,0,0,0,1,4,4,0,1,0,0,0,0,0,0,32,1,1,0,0,11,0
163,4,2,1,13,0,11,1,0,0,1,0,0,0,1,0,0,5,4,1,0,0,0,0,0,0,1,12,1,1,0,0,4,0
307,11,4,2,15.707922,0,9,1,0,0,4,0,0,1,0,0,0,4,3,1,0,0,1,0,0,0,0,12,3,0,0,1,18,0
231,4.543491,6,2,13,0,2,1,0,0,3,0,1,0,0,0,0,4,4,1,0,0,0,0,0,0,1,10,3,0,0,1,12,0
152,9,3,3,19,0,3,1,0,0,2,0,0,0,1,0,0,6,4,1,0,0,0,0,0,0,1,7,1,1,0,0,3,0
121,4,1,1,15,0,5,1,0,0,1,0,0,0,0,1,0,3,2,1,0,0,0,0,0,0,1,9,1,1,0,0,10.189899,0
232,2,3.008004,0,11,1,3,0,1,0,3,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,34,1,1,0,0,25,0
127,2,1,1,14,1,2,1,0,0,3,0,0,0,0,1,0,4,2.931535,1,0,0,0,0,0,0,1,12,1,1,0,0,4,0
164,6,1,1,17,0,9,1,0,0,3,0,0,0,0,0,1,5,3,1,0,0,0,0,0,0,1,35,1,0,0,1,2,0
125,3,1,1,11,0,2,1,0,0,3,0,0,0,0,1,0,3,3,1,0,0,0,0,0,0,1,15.639896,1,0,1,0,0,0
123,2,2,0,17,0,9,1,0,0,3,0,0,0,0,1,0,3,2,1,0,0,0,0,1,0,0,12,2,0,1,0,10.189899,0
174,2,2,2,16,0,10,0,0,1,3,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0,1,27,3,0,0,1,19,0
138,2,1,0,11,0,9,0,1,0,4,0,0,0,1,0,0,4,2,0,1,0,0,0,0,0,0,10,1,0,1,0,6,0
142,7,1,1,17,1,2,0,0,1,2,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,1,10,3,0,1,0,20,0
152,3,2,1,12,0,2,1,0,0,1,0,0,0,1,0,0,4,4,1,1,0,0,0,0,0,0,26,1,0,0,1,8,0
229,4.543491,15,2,14,0,3,1,0,0,3,0,1,0,0,0,0,5,4,0,0,0,0,0,0,0,1,22,1,0,0,1,14,0
161,6,9,4,12,0,2,0,0,1,5,0,0,0,0,0,1,3,3,0,1,0,0,0,0,0,0,21,3,0,0,1,7,0
266,8,11,1.751023,16,0,8,1,0,0,5,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,8,3,0,0,1,14,0
122,0,1,0,17,0,4,1,0,0,1,0,0,0,0,1,0,4,3,1,0,0,0,0,0,0,1,9,1,0,1,0,10.189899,0
247,0,3.008004,0,13,0,3,1,0,0,1,1,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,7,1,0,0,1,28,0
235,8,3.008004,3,14,0,6,1,0,0,4,1,0,0,0,0,0,3,3,0,0,0,1,0,0,0,0,32,3,1,0,0,15,0
150,8,3,3,13,0,1,0,0,1,3,0,0,0,0,0,1,3,2,0,1,0,0,0,0,0,0,10,1,1,0,0,12,0
148,2,1,1,14,0,8,1,0,0,5,0,0,0,0,0,1,3,3,0,0,0,1,0,0,0,0,13,3,0,1,0,3,0
188,7,1,0,21,0,2,1,0,0,5,0,1,0,0,0,0,3,2,1,0,0,0,0,0,0,1,16,1,1,0,0,0,0
299,1,7,6,15.707922,0,3,0,0,1,3,1,0,0,0,0,0,4,3,1,0,0,0,0,0,0,1,24,3,1,0,0,7,0
196,2,1,1,13,0,4,1,0,0,3,0,1,0,0,0,0,5,3,1,0,0,0,0,0,0,1,25,3,0,0,1,5,0
157,3,1,1,13,0,8,1,0,0,1,0,0,0,0,0,1,4,2,0,1,0,0,0,0,0,0,31,1,0,0,1,10,0
178,9,1,0,20,0,3,0,0,1,1,0,0,0,0,0,1,3,3,1,0,0,0,0,0,0,1,24,1,1,0,0,9,0
164,0,1,0,17,1,3,0,0,1,3,0,0,0,0,0,1,3,3,1,0,0,0,0,0,0,1,14,1,0,0,1,6,0
169,1,2,1,14,1,5,1,0,0,1,0,0,0,0,0,1,5,4,0,1,0,0,0,0,0,0,33,1,1,0,0,14,0
151,0,3,1,12,1,2,1,0,0,1,0,0,0,0,0,1,4,2,1,0,0,0,0,0,0,1,6,1,0,0,1,3,0
151,5,2,2,13,0,3,1,0,0,3,0,0,0,1,0,0,2,4,0,1,0,0,0,0,0,0,9,1,0,0,1,17,0
148,3,2,1,13,1,3,1,0,0,1,0,0,0,1,0,0,4,3,1,1,0,0,0,0,0,0,16,1,1,0,0,11,0
176,9,2,1,20,0,3,0,0,1,3,0,0,0,0,0,1,4,3,1,1,0,0,0,0,0,0,16,1,0,0,1,9,0
129,0,1,0,13,1,2,1,0,0,3,0,0,0,0,1,0,4,2.931535,0,0,0,0,0,0,0,1,6,1,0,1,0,0,0
131,1,1,0,13,1,7,1,0,0,3,0,0,0,0,1,0,3,2.931535,1,0,0,0,0,1,0,0,8,1,0,1,0,11,0
178,8,6,6,13,0,3,0,0,1,2,0,0,0,0,0,1,3,4,1,0,0,0,0,0,0,1,28,3,0,0,1,8,0
130,0,1,0,17,0,4,1,0,0,1,0,0,0,0,1,0,4,2.931535,1,0,0,0,0,0,0,1,9,1,1,0,0,7,0
235,9,3.008004,4,21,0,6,1,0,0,3,0,1,0,0,0,0,4,3,0,1,0,0,0,0,0,0,17,1,1,0,0,5,0
176,8,3,2,20,1,3,1,0,0,3,0,0,0,0,0,1,2,4,1,1,0,0,0,0,0,0,23,1,1,0,0,21,0
159,7,3,0,16,0,9,0,0,1,4,0,0,0,0,0,1,3,3,1,0,0,0,0,0,0,1,11,1,0,0,1,9,0
173,9,2,1,15,0,4,1,0,0,3,0,0,0,0,0,1,4,3,0,1,0,0,0,0,0,0,25,1,0,0,1,20,0
164,3,2,2,14,0,3,1,0,0,5,0,0,0,1,0,0,4,4,1,1,0,0,0,0,0,0,36,1,0,0,1,1,0
176,5,2,1,14,0,7,1,0,0,2,0,0,0,0,0,1,4,4,0,1,0,0,0,0,0,0,9,1,0,0,1,21,0
292,7,9,7,15.707922,0,3,0,0,1,4,1,0,0,0,0,0,5,3,0,0,0,0,1,0,0,0,35,1,0,0,1,19,0
233,11,3.008004,1,18,1,4,0,1,0,2,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,34,3,0,0,1,17,0
192,1,2,2,16,0,6,0,0,1,1,0,0,0,0,0,1,4,3,0,1,0,0,0,0,0,0,7,3,1,0,0,10,0
125,1,1,0,15,0,2,1,0,0,5,0,0,0,0,1,0,5,3,1,0,0,0,0,0,0,1,15.639896,1,0,1,0,0,0
168,0,1,1,13,0,7,0,0,1,3,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,1,6,3,0,0,1,9,0
203,9,9,4,18,1,3,1,0,0,1,0,0,0,0,0,1,4,4,1,1,0,0,0,0,0,0,9,3,0,0,1,17,0
214,4.543491,2,2,20,0,3,1,0,0,1,0,0,0,0,0,1,4,3,1,0,0,0,0,0,0,1,9,1,1,0,0,3,0
153,3,2,2,25,1,4,0,1,0,2,0,0,0,1,0,0,2,4,1,0,0,0,0,0,0,1,15,1,0,0,1,18,0
168,3,3,3,21,1,5,0,0,1,3,0,0,0,0,0,1,4,3,0,0,1,0,0,0,0,0,10,1,0,0,1,12,0
123,2,1,1,14,0,4,1,0,0,1,0,0,0,0,1,0,3,3,0,0,0,0,0,1,0,0,6,1,0,1,0,10.189899,0
167,1,2,1,20,1,9,1,0,0,1,0,0,0,0,0,1,5,3,0,0,0,1,0,0,0,0,30,3,0,0,1,1,0
169,1,3,3,15,0,5,1,0,0,1,0,0,0,1,0,0,6,4,0,0,0,0,0,0,0,1,7,1,1,0,0,1,0
141,3,1,1,12,0,2,0,1,0,5,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,1,6,1,1,0,0,4,0
318,4,14,7,15.707922,0,3,1,0,0,1,0,0,1,0,0,0,5,3,1,1,0,0,0,0,0,0,14,1,1,0,0,13,0
295,9,1,1,15.707922,1,2,1,0,0,3,0,0,1,0,0,0,4,2,1,0,0,0,0,0,0,1,24,1,0,0,1,22,0
165,3,2,2,12,0,4,0,0,1,3,0,0,0,0,0,1,4,4,1,0,0,0,0,0,0,1,9,1,1,0,0,8,0
153,7,4,1,15,0,2,1,0,0,1,0,0,0,0,0,1,3,3,1,0,0,0,0,0,0,1,30,1,1,0,0,5,0
124,2,1,1,11,1,2,0,0,1,5,0,0,0,0,1,0,3,2,1,0,0,0,0,1,0,0,15.639896,3,0,1,0,0,0
121,0,1,1,21,0,2,0,1,0,4,0,0,0,0,1,0,4,3,1,0,0,0,0,0,1,0,23,1,0,1,0,10.189899,0
170,5,2,1,13,0,5,0,0,1,1,0,0,0,0,0,1,4,4,0,0,0,1,0,0,0,0,18,3,0,0,1,23,0
166,4,1,1,18,0,2,0,1,0,3,0,0,0,0,0,1,4,3,1,0,0,1,0,0,0,0,16,3,0,0,1,3,0
177,4,2,2,13,0,7,0,1,0,3,0,0,0,0,0,1,2,4,0,1,0,0,0,0,0,0,15,1,0,0,1,6,0
188,5,2,1,23,0,3,0,0,1,2,0,0,0,0,0,1,4,3,1,0,0,0,0,0,1,0,9,3,0,0,1,8,0
121,0,2,0,17,0,5,1,0,0,3,0,0,0,0,1,0,3,3,1,0,0,0,0,0,1,0,11,1,1,0,0,10.189899,0
176,8,8,2,15,0,3,1,0,0,3,0,0,0,0,0,1,5,4,1,0,1,0,0,0,0,0,17,1,1,0,0,8,0
191,1,2,1,15,0,11,0,1,0,3,0,0,0,0,0,1,4,3,1,0,0,0,0,0,0,1,9,1,0,0,1,12,0
169,4,1,1,14,0,1,0,0,1,1,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,1,6,1,0,0,1,6,0
179,4,2,1,13,0,6,0,0,1,3,0,0,0,0,0,1,4,3,1,1,0,0,0,0,0,0,8,1,1,0,0,19,0
150,3,2,1,20,0,3,0,0,1,5,0,0,0,1,0,0,5,4,1,1,0,0,0,0,0,0,7,1,0,1,0,9,0
165,6,2,2,13,0,3,1,0,0,5,0,0,0,0,0,1,2,3,1,0,0,0,0,0,0,1,12,1,1,0,0,1,0
210,4.543491,4,3,20,0,5,1,0,0,3,0,1,0,0,0,0,3,2,0,1,0,0,0,0,0,0,16,1,1,0,0,4,0
169,8,11,5,16,1,5,1,0,0,3,0,0,0,0,0,1,4,4,0,1,0,0,0,0,0,0,32,1,1,0,0,11,0
128,2,2,2,16,0,4,1,0,0,3,0,0,0,0,1,0,3,2.931535,1,0,0,0,0,0,1,0,9,1,1,0,0,11,0
166,11,4,2,17,1,1,1,0,0,1,0,0,0,0,0,1,3,3,1,0,0,0,0,0,0,1,20,1,0,0,1,9,0
276,11,6,1.751023,24,0,2,1,0,0,3,1,0,0,0,0,0,4,3,1,0,0,0,0,0,0,1,21,1,0,0,1,16,0
164,3,3,2,16,0,9,0,1,0,4,0,0,0,1,0,0,4,3,1,0,0,1,0,0,0,0,15,3,0,0,1,24,0
123,2,2,0,17,0,9,1,0,0,3,0,0,0,0,1,0,3,2,1,0,0,0,0,1,0,0,12,2,0,1,0,10.189899,0
181,5,2,2,17,0,2,1,0,0,5,0,0,0,0,0,1,4,4,1,1,0,0,0,0,0,0,25,3,0,0,1,9,0
180,2,3,2,18,0,11,1,0,0,1,0,0,0,0,0,1,4,3,1,0,0,0,0,0,0,1,7,1,0,0,1,8,0
297,5,1,1,15.707922,1,4,0,1,0,5,0,0,1,0,0,0,3,3,0,1,0,0,0,0,0,0,6,1,0,0,1,30,0
285,1,2,1.751023,15,0,4,0,0,1,1,1,0,0,0,0,0,4,3,0,0,0,0,0,0,0,1,30,1,0,0,1,16,0
178,3,3,2,16,0,10,1,0,0,3,0,0,0,0,0,1,4,4,1,0,0,0,0,0,0,1,23,3,0,0,1,4,0
272,0,1,1.751023,24,0,7,1,0,0,5,1,0,0,0,0,0,3,3,1,0,0,0,0,0,0,1,20,1,0,0,1,16,0
163,13,1,0,12,0,1,1,0,0,3,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,1,6,3,1,0,0,23,0
176,8,2,1,17,0,9,0,0,1,1,0,0,0,0,0,1,2,4,0,1,0,0,0,0,0,0,9,1,0,0,1,6,0
182,3,2,2,12,1,6,1,0,0,1,0,0,0,0,0,1,4,3,1,0,0,0,0,0,1,0,7,2,1,0,0,18,0
153,3,2,1,17,0,4,0,1,0,5,0,0,0,1,0,0,3,3,1,1,0,0,0,0,0,0,11,1,0,0,1,1,0
136,2,1,1,22,0,9,0,0,1,4,0,0,0,1,0,0,3,2,1,1,0,0,0,0,0,0,30,1,0,1,0,0,0
122,2,1,1,14,0,8,1,0,0,3,0,0,0,0,1,0,3,3,0,0,0,0,0,1,0,0,6,1,0,1,0,10.189899,0
293,3,7,4,15.707922,0,9,0,0,1,5,1,0,0,0,0,0,5,3,1,1,0,0,0,0,0,0,9,1,1,0,0,29,0
184,10,8,6,20,0,8,0,0,1,5,0,0,0,0,0,1,3,2,0,1,0,0,0,0,0,0,6,3,0,0,1,26,0
169,4,2,2,12,0,3,0,0,1,5,0,0,0,1,0,0,5,3,0,1,0,0,0,0,0,0,9,1,0,0,1,8,0
148,3,2,2,21,0,8,0,1,0,4,0,0,0,1,0,0,5,4,0,0,0,0,0,0,0,1,7,1,1,0,0,6,0
214,4.543491,2,1,12,0,4,1,0,0,4,0,0,0,0,0,1,5,3,1,0,0,0,0,0,0,1,10,3,0,0,1,15,0
205,3,1,1,15,0,7,0,0,1,1,0,1,0,0,0,0,4,3,1,0,0,0,1,0,0,0,16,1,0,0,1,23,0
174,3,2,1,23,0,2,0,1,0,4,0,0,0,0,0,1,3,3,1,0,0,0,0,0,0,1,15,3,0,0,1,1,0
297,9,12,3,15.707922,0,5,1,0,0,4,0,0,1,0,0,0,4,3,1,0,0,0,0,0,0,1,16,1,0,0,1,21,0
182,6,7,3,11,0,3,1,0,0,3,0,1,0,0,0,0,1,2,1,1,0,0,0,0,0,0,12,3,0,0,1,12,0
233,2,3.008004,2,12,0,10,1,0,0,5,0,1,0,0,0,0,4,3,0,0,0,0,0,0,0,1,34,1,1,0,0,17,0
146,7,1,1,23,1,9,1,0,0,5,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0,1,14,1,0,1,0,19,0
309,10,15,1,15.707922,0,3,1,0,0,2,0,0,1,0,0,0,4,4,1,0,0,0,0,0,0,1,15,1,1,0,0,16,0
132,4,1,0,14,0,2,1,0,0,5,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,1,31,1,0,1,0,22,0
